filename,prediction,true_label,confidence,attention_jaw,attention_eyebrows,attention_nose,attention_eyes,attention_mouth,attention_forehead
03001.png,1,0,0.5012369155883789,1,1,1,1,1,1
03002.png,1,0,0.5012670159339905,1,1,1,1,1,1
03003.png,1,0,0.501253604888916,1,1,1,1,1,1
03004.png,1,0,0.5012149214744568,1,1,1,1,1,1
03005.png,1,0,0.5012376308441162,1,1,1,1,1,1
03006.png,1,0,0.5012285113334656,1,1,1,1,1,1
03007.png,1,0,0.5012339949607849,1,1,1,1,1,1
03008.png,1,0,0.5012683272361755,0,1,1,1,1,1
03009.png,1,0,0.5012376308441162,1,1,1,1,1,1
03010.png,1,0,0.5012394785881042,1,1,1,1,1,1
03011.png,1,0,0.5012243390083313,1,1,1,1,1,1
03012.png,1,0,0.5012440085411072,1,1,1,1,1,1
03013.png,1,0,0.5012430548667908,1,1,1,1,1,1
03014.png,1,0,0.5012386441230774,1,1,1,1,1,1
03015.png,1,0,0.5012773275375366,1,1,1,1,1,1
03016.png,1,0,0.5012497305870056,1,1,1,0,1,1
03017.png,1,0,0.5012478828430176,1,1,1,1,1,1
03018.png,1,0,0.5012550950050354,1,1,1,1,1,1
03019.png,1,0,0.5012166500091553,1,1,1,1,1,1
03020.png,1,0,0.501267671585083,1,1,1,1,1,1
03021.png,1,0,0.5012527704238892,0,1,1,1,1,1
03022.png,1,0,0.5012509822845459,1,1,1,1,1,1
03023.png,1,0,0.5012400150299072,1,1,1,1,1,1
03024.png,1,0,0.5012421607971191,1,1,1,1,1,1
03025.png,1,0,0.5012515187263489,1,1,1,1,1,1
03026.png,1,0,0.5012407302856445,1,1,1,1,1,1
03027.png,1,0,0.5012227296829224,1,1,1,1,1,1
03028.png,1,0,0.5012200474739075,1,1,1,1,1,1
03029.png,1,0,0.5012279152870178,1,1,1,1,1,1
03030.png,1,0,0.5012356042861938,1,1,1,1,1,1
03031.png,1,0,0.5012184381484985,1,1,1,1,1,1
03032.png,1,0,0.5012670159339905,1,1,1,1,1,1
03033.png,1,0,0.5012421607971191,1,1,1,1,1,1
03034.png,1,0,0.5012279152870178,1,1,1,1,1,1
03035.png,1,0,0.501267671585083,1,1,1,1,1,1
03036.png,1,0,0.5012279152870178,1,1,1,1,1,1
03037.png,1,0,0.5012340545654297,1,1,1,1,1,1
03038.png,1,0,0.5012166500091553,1,1,1,1,1,1
03039.png,1,0,0.5012520551681519,1,1,1,1,1,1
03040.png,1,0,0.5012341141700745,1,1,1,1,1,1
03041.png,1,0,0.5012356042861938,1,1,1,1,1,1
03042.png,1,0,0.5012683272361755,0,1,1,1,1,1
03043.png,1,0,0.5012304782867432,1,1,1,1,1,1
03044.png,1,0,0.5012326836585999,1,1,1,1,1,1
03045.png,1,0,0.5012304782867432,1,1,1,1,1,1
03046.png,1,0,0.5012670159339905,1,1,1,1,1,1
03047.png,1,0,0.5012421607971191,1,1,1,1,1,1
03048.png,1,0,0.501229465007782,1,1,1,1,1,1
03049.png,1,0,0.5012339949607849,1,1,1,1,1,1
03050.png,1,0,0.5012200474739075,1,1,1,1,1,1
