filename,label,label_str
00001.png,0,fake
00002.png,0,fake
00003.png,0,fake
00004.png,0,fake
00005.png,0,fake
00006.png,0,fake
00007.png,0,fake
00008.png,0,fake
00009.png,0,fake
00010.png,0,fake
00011.png,0,fake
00012.png,0,fake
00013.png,0,fake
00014.png,0,fake
00015.png,0,fake
00016.png,0,fake
00017.png,0,fake
00018.png,0,fake
00019.png,0,fake
00020.png,0,fake
00021.png,0,fake
00022.png,0,fake
00023.png,0,fake
00024.png,0,fake
00025.png,0,fake
00026.png,0,fake
00027.png,0,fake
00028.png,0,fake
00029.png,0,fake
00030.png,0,fake
00031.png,0,fake
00032.png,0,fake
00033.png,0,fake
00034.png,0,fake
00035.png,0,fake
00036.png,0,fake
00037.png,0,fake
00038.png,0,fake
00039.png,0,fake
00040.png,0,fake
00041.png,0,fake
00042.png,0,fake
00043.png,0,fake
00044.png,0,fake
00045.png,0,fake
00046.png,0,fake
00047.png,0,fake
00048.png,0,fake
00049.png,0,fake
00050.png,0,fake
00051.png,0,fake
00052.png,0,fake
00053.png,0,fake
00054.png,0,fake
00055.png,0,fake
00056.png,0,fake
00057.png,0,fake
00058.png,0,fake
00059.png,0,fake
00060.png,0,fake
00061.png,0,fake
00062.png,0,fake
00063.png,0,fake
00064.png,0,fake
00065.png,0,fake
00066.png,0,fake
00067.png,0,fake
00068.png,0,fake
00069.png,0,fake
00070.png,0,fake
00071.png,0,fake
00072.png,0,fake
00073.png,0,fake
00074.png,0,fake
00075.png,0,fake
00076.png,0,fake
00077.png,0,fake
00078.png,0,fake
00079.png,0,fake
00080.png,0,fake
00081.png,0,fake
00082.png,0,fake
00083.png,0,fake
00084.png,0,fake
00085.png,0,fake
00086.png,0,fake
00087.png,0,fake
00088.png,0,fake
00089.png,0,fake
00090.png,0,fake
00091.png,0,fake
00092.png,0,fake
00093.png,0,fake
00094.png,0,fake
00095.png,0,fake
00096.png,0,fake
00097.png,0,fake
00098.png,0,fake
00099.png,0,fake
00100.png,0,fake
00101.png,0,fake
00102.png,0,fake
00103.png,0,fake
00104.png,0,fake
00105.png,0,fake
00106.png,0,fake
00107.png,0,fake
00108.png,0,fake
00109.png,0,fake
00110.png,0,fake
00111.png,0,fake
00112.png,0,fake
00113.png,0,fake
00114.png,0,fake
00115.png,0,fake
00116.png,0,fake
00117.png,0,fake
00118.png,0,fake
00119.png,0,fake
00120.png,0,fake
00121.png,0,fake
00122.png,0,fake
00123.png,0,fake
00124.png,0,fake
00125.png,0,fake
00126.png,0,fake
00127.png,0,fake
00128.png,0,fake
00129.png,0,fake
00130.png,0,fake
00131.png,0,fake
00132.png,0,fake
00133.png,0,fake
00134.png,0,fake
00135.png,0,fake
00136.png,0,fake
00137.png,0,fake
00138.png,0,fake
00139.png,0,fake
00140.png,0,fake
00141.png,0,fake
00142.png,0,fake
00143.png,0,fake
00144.png,0,fake
00145.png,0,fake
00146.png,0,fake
00147.png,0,fake
00148.png,0,fake
00149.png,0,fake
00150.png,0,fake
00151.png,0,fake
00152.png,0,fake
00153.png,0,fake
00154.png,0,fake
00155.png,0,fake
00156.png,0,fake
00157.png,0,fake
00158.png,0,fake
00159.png,0,fake
00160.png,0,fake
00161.png,0,fake
00162.png,0,fake
00163.png,0,fake
00164.png,0,fake
00165.png,0,fake
00166.png,0,fake
00167.png,0,fake
00168.png,0,fake
00169.png,0,fake
00170.png,0,fake
00171.png,0,fake
00172.png,0,fake
00173.png,0,fake
00174.png,0,fake
00175.png,0,fake
00176.png,0,fake
00177.png,0,fake
00178.png,0,fake
00179.png,0,fake
00180.png,0,fake
00181.png,0,fake
00182.png,0,fake
00183.png,0,fake
00184.png,0,fake
00185.png,0,fake
00186.png,0,fake
00187.png,0,fake
00188.png,0,fake
00189.png,0,fake
00190.png,0,fake
00191.png,0,fake
00192.png,0,fake
00193.png,0,fake
00194.png,0,fake
00195.png,0,fake
00196.png,0,fake
00197.png,0,fake
00198.png,0,fake
00199.png,0,fake
00200.png,0,fake
00201.png,0,fake
00202.png,0,fake
00203.png,0,fake
00204.png,0,fake
00205.png,0,fake
00206.png,0,fake
00207.png,0,fake
00208.png,0,fake
00209.png,0,fake
00210.png,0,fake
00211.png,0,fake
00212.png,0,fake
00213.png,0,fake
00214.png,0,fake
00215.png,0,fake
00216.png,0,fake
00217.png,0,fake
00218.png,0,fake
00219.png,0,fake
00220.png,0,fake
00221.png,0,fake
00222.png,0,fake
00223.png,0,fake
00224.png,0,fake
00225.png,0,fake
00226.png,0,fake
00227.png,0,fake
00228.png,0,fake
00229.png,0,fake
00230.png,0,fake
00231.png,0,fake
00232.png,0,fake
00233.png,0,fake
00234.png,0,fake
00235.png,0,fake
00236.png,0,fake
00237.png,0,fake
00238.png,0,fake
00239.png,0,fake
00240.png,0,fake
00241.png,0,fake
00242.png,0,fake
00243.png,0,fake
00244.png,0,fake
00245.png,0,fake
00246.png,0,fake
00247.png,0,fake
00248.png,0,fake
00249.png,0,fake
00250.png,0,fake
00251.png,0,fake
00252.png,0,fake
00253.png,0,fake
00254.png,0,fake
00255.png,0,fake
00256.png,0,fake
00257.png,0,fake
00258.png,0,fake
00259.png,0,fake
00260.png,0,fake
00261.png,0,fake
00262.png,0,fake
00263.png,0,fake
00264.png,0,fake
00265.png,0,fake
00266.png,0,fake
00267.png,0,fake
00268.png,0,fake
00269.png,0,fake
00270.png,0,fake
00271.png,0,fake
00272.png,0,fake
00273.png,0,fake
00274.png,0,fake
00275.png,0,fake
00276.png,0,fake
00277.png,0,fake
00278.png,0,fake
00279.png,0,fake
00280.png,0,fake
00281.png,0,fake
00282.png,0,fake
00283.png,0,fake
00284.png,0,fake
00285.png,0,fake
00286.png,0,fake
00287.png,0,fake
00288.png,0,fake
00289.png,0,fake
00290.png,0,fake
00291.png,0,fake
00292.png,0,fake
00293.png,0,fake
00294.png,0,fake
00295.png,0,fake
00296.png,0,fake
00297.png,0,fake
00298.png,0,fake
00299.png,0,fake
00300.png,0,fake
00301.png,0,fake
00302.png,0,fake
00303.png,0,fake
00304.png,0,fake
00305.png,0,fake
00306.png,0,fake
00307.png,0,fake
00308.png,0,fake
00309.png,0,fake
00310.png,0,fake
00311.png,0,fake
00312.png,0,fake
00313.png,0,fake
00314.png,0,fake
00315.png,0,fake
00316.png,0,fake
00317.png,0,fake
00318.png,0,fake
00319.png,0,fake
00320.png,0,fake
00321.png,0,fake
00322.png,0,fake
00323.png,0,fake
00324.png,0,fake
00325.png,0,fake
00326.png,0,fake
00327.png,0,fake
00328.png,0,fake
00329.png,0,fake
00330.png,0,fake
00331.png,0,fake
00332.png,0,fake
00333.png,0,fake
00334.png,0,fake
00335.png,0,fake
00336.png,0,fake
00337.png,0,fake
00338.png,0,fake
00339.png,0,fake
00340.png,0,fake
00341.png,0,fake
00342.png,0,fake
00343.png,0,fake
00344.png,0,fake
00345.png,0,fake
00346.png,0,fake
00347.png,0,fake
00348.png,0,fake
00349.png,0,fake
00350.png,0,fake
00351.png,0,fake
00352.png,0,fake
00353.png,0,fake
00354.png,0,fake
00355.png,0,fake
00356.png,0,fake
00357.png,0,fake
00358.png,0,fake
00359.png,0,fake
00360.png,0,fake
00361.png,0,fake
00362.png,0,fake
00363.png,0,fake
00364.png,0,fake
00365.png,0,fake
00366.png,0,fake
00367.png,0,fake
00368.png,0,fake
00369.png,0,fake
00370.png,0,fake
00371.png,0,fake
00372.png,0,fake
00373.png,0,fake
00374.png,0,fake
00375.png,0,fake
00376.png,0,fake
00377.png,0,fake
00378.png,0,fake
00379.png,0,fake
00380.png,0,fake
00381.png,0,fake
00382.png,0,fake
00383.png,0,fake
00384.png,0,fake
00385.png,0,fake
00386.png,0,fake
00387.png,0,fake
00388.png,0,fake
00389.png,0,fake
00390.png,0,fake
00391.png,0,fake
00392.png,0,fake
