filename,prediction,true_label,confidence,attention_jaw,attention_eyebrows,attention_nose,attention_eyes,attention_mouth,attention_forehead
03001.jpg,0,0,0.9999924,0,1,0,0,0,0
03002.jpg,0,0,0.74022967,1,0,0,0,0,0
03003.jpg,0,0,0.9999448,1,1,0,1,0,1
03004.jpg,0,0,0.999998,0,1,0,0,0,1
03005.jpg,0,0,0.99941707,0,0,0,0,0,1
03006.jpg,0,0,0.9999945,0,0,0,1,0,1
03007.jpg,0,0,0.98755985,0,0,0,0,0,1
03008.jpg,0,0,0.99999297,0,0,0,0,0,0
03009.jpg,0,0,0.99601585,0,0,1,1,0,0
03010.jpg,0,0,0.99994767,0,1,0,0,0,1
03011.jpg,0,0,0.99999833,0,1,1,1,0,0
03012.jpg,0,0,0.99999714,0,0,0,0,0,1
03013.jpg,0,0,0.99005646,0,1,0,1,0,0
03014.jpg,1,0,0.6001409,1,0,0,0,0,0
03015.jpg,0,0,0.99999726,0,0,0,0,0,0
03016.jpg,0,0,0.936971,0,1,0,0,0,0
03017.jpg,0,0,0.99999595,0,0,0,0,0,0
03018.jpg,0,0,0.99999833,0,0,0,0,0,0
03019.jpg,0,0,0.9999987,0,0,0,0,0,1
03020.jpg,0,0,0.9999982,0,0,0,0,0,1
03021.jpg,0,0,0.83920765,0,0,0,0,0,0
03022.jpg,0,0,0.9999801,1,0,0,0,0,0
03023.jpg,0,0,0.9999927,1,0,0,0,0,0
03024.jpg,0,0,0.9999956,1,1,0,0,0,1
03025.jpg,0,0,0.99999595,1,1,0,1,0,1
03026.jpg,1,0,0.9931196,1,1,0,0,0,1
03027.jpg,0,0,0.99999726,0,0,0,0,0,0
03028.jpg,0,0,0.9999987,0,0,0,0,0,0
03029.jpg,0,0,0.9999932,0,1,0,0,0,1
03030.jpg,0,0,0.99998486,1,1,0,1,0,1
03031.jpg,0,0,0.99998534,1,0,0,0,0,0
03032.jpg,0,0,0.999992,1,0,0,0,0,0
